comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time
9,https://scontent.flpb1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101402587_3316291135178257_4515643312668934144_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=tzPQlMdXCZsAX906wf5&_nc_ht=scontent.flpb1-2.fna&_nc_tp=14&oh=6535dae327bfe340b8a95053b424fd54&oe=5EFD75D3,12,,710925853052325,,https://m.facebook.com/story.php?story_fbid=3316291171844920&id=2168870173253698,"Movimiento Ciudadano Bolivia
June 1 at 11:00 AM ·",9,"Movimiento Ciudadano Bolivia
June 1 at 11:00 AM ·",
8,,0,,710721906406053,"Hola, me disculpo por esta forma de contactarte. Acabo de ver tu perfil y pensé que eres la persona que necesito. En resumen, me llamo PATRICIA MARIE JOSEE,soy francesa y vivo en Benin. Tengo una enfermedad grave que me condena a una muerte segura. Es una bebida contra el cáncer y tengo una suma de 15,000 euros que me gustaría hacer un Donacìon a una persona de confianza y honestidad para hacer un buen uso de ella. Tengo una empresa que importa aceite rojo en Francia y perdí a mi esposo hace 6 años, lo que me influenció profundamente y no podía volver a casarme hasta ahora. No teníamos hijos. Me gustaría ver que es un regalo para mi muerte. No puedo curarme, pero un sedante en Francia, no sabría si puedes disfrutar de este regalo. Aquí está mi número de WhatsApp:0022951586005",,,0,"Hola, me disculpo por esta forma de contactarte. Acabo de ver tu perfil y pensé que eres la persona que necesito. En resumen, me llamo PATRICIA MARIE JOSEE,soy francesa y vivo en Benin. Tengo una enfermedad grave que me condena a una muerte segura. Es una bebida contra el cáncer y tengo una suma de 15,000 euros que me gustaría hacer un Donacìon a una persona de confianza y honestidad para hacer un buen uso de ella. Tengo una empresa que importa aceite rojo en Francia y perdí a mi esposo hace 6 años, lo que me influenció profundamente y no podía volver a casarme hasta ahora. No teníamos hijos. Me gustaría ver que es un regalo para mi muerte. No puedo curarme, pero un sedante en Francia, no sabría si puedes disfrutar de este regalo. Aquí está mi número de WhatsApp:0022951586005",
16,https://scontent.flpb1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p320x320/99111644_1329185863958715_8299693904865787904_o.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=FEnxB4CKwOsAX-0kjgh&_nc_ht=scontent.flpb1-1.fna&_nc_tp=3&oh=b49dff8e6898678782551c1cc0e24c72&oe=5EFDA463,33,,710113393133571,,https://m.facebook.com/story.php?story_fbid=1329185883958713&id=100006019423589,"Jose Rodriguez
May 20 at 11:37 AM ·",7,"Jose Rodriguez
May 20 at 11:37 AM ·",
0,,0,,710974556380788,,https://m.facebook.com/story.php?story_fbid=2620365131556212&id=100007482510945,"Mauricio Ramirez shared a post.
21 hrs ·
Mariana Paniagua Martinez
June 2 at 3:46 AM ·
#ALERTA
#ALERTA
#Despertemos...!
#Despertemos...!
los medios de comunicación mienten al mundo.
así como en Bolivia UNITEL.",0,"Mauricio Ramirez shared a post.
21 hrs ·
Mariana Paniagua Martinez
June 2 at 3:46 AM ·
#ALERTA
#ALERTA
#Despertemos...!
#Despertemos...!
los medios de comunicación mienten al mundo.
así como en Bolivia UNITEL.",
0,,0,,,,https://m.facebook.com/story.php?story_fbid=2620365131556212&id=100007482510945,"Mariana Paniagua Martinez
June 2 at 3:46 AM ·
#ALERTA
#ALERTA
#Despertemos...!
#Despertemos...!
los medios de comunicación mienten al mundo.
así como en Bolivia UNITEL.",0,"Mariana Paniagua Martinez
June 2 at 3:46 AM ·
#ALERTA
#ALERTA
#Despertemos...!
#Despertemos...!
los medios de comunicación mienten al mundo.
así como en Bolivia UNITEL.",
2,https://scontent.fvvi1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101926826_147662266877559_8255085275017904128_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=T83Rgbk1oVoAX-rM9Ig&_nc_ht=scontent.fvvi1-1.fna&_nc_tp=14&oh=69e544d4c6902ca8a6719b29440b179f&oe=5EFFF6D1,6,,710751936403050,,https://m.facebook.com/story.php?story_fbid=147662280210891&id=107408327569620,"Soy Bolivia
9 hrs ·
😪 MALAS NOTICIAS PARA LA LLAJTA 😢
Trenes del #TrenMetropolitano de #Cochabamba ya tienen fecha de subasta en #Iquique
Así lo informó #DomingoGarcía, gerente de la Asociación Accidental Tunari. Aseguró que el Gobierno nacional no ha pagado las planillas adeudadas a su empresa por un monto superior a los 200 millones de Bs.
García también señaló que no reanudaron trabajos en las líneas del proyecto y que sólo están cumpliendo trabajos de emergencia para evitar el daño de cierta infraestructura. Hay tres trenes en el puerto de Iquique que tienen como fecha de subasta el 6 de septiembre.
Via: Diego Viamont",4,"Soy Bolivia
9 hrs ·
😪 MALAS NOTICIAS PARA LA LLAJTA 😢
Trenes del #TrenMetropolitano de #Cochabamba ya tienen fecha de subasta en #Iquique
Así lo informó #DomingoGarcía, gerente de la Asociación Accidental Tunari. Aseguró que el Gobierno nacional no ha pagado las planillas adeudadas a su empresa por un monto superior a los 200 millones de Bs.
García también señaló que no reanudaron trabajos en las líneas del proyecto y que sólo están cumpliendo trabajos de emergencia para evitar el daño de cierta infraestructura. Hay tres trenes en el puerto de Iquique que tienen como fecha de subasta el 6 de septiembre.
Via: Diego Viamont",
0,,0,,710974163047494,,https://m.facebook.com/story.php?story_fbid=693555031203885&id=426524190870788,"Canal 11 TVU was live.
1 hr ·
Histórico lanzamiento de la empresa Spacex y la NASA de una nave al espacio.",0,"Canal 11 TVU was live.
1 hr ·
Histórico lanzamiento de la empresa Spacex y la NASA de una nave al espacio.",
16,https://scontent.fvvi1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p320x320/101977435_571176073815303_6470428708858494976_n.jpg?_nc_cat=111&_nc_sid=ca434c&_nc_ohc=Uglvf2xFfwMAX-QM2Wa&_nc_ht=scontent.fvvi1-2.fna&_nc_tp=3&oh=892cae5cd2a68f8c4ea5a10367a2cc2f&oe=5EFDAD39,12,,710514579760119,,,,13,,
0,https://scontent.flpb1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/82838325_171137604430977_2440370335636258816_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=Z3r_rC9v7hsAX-KOBGu&_nc_ht=scontent.flpb1-2.fna&_nc_tp=14&oh=a724c761c6ccc6fda231f506d80e59a5&oe=5EFF68FE,0,https://api.whatsapp.com/send?phone=59160882150,710973806380863,,https://m.facebook.com/story.php?story_fbid=171137694430968&id=102333164644755,"Abimport SANTA CRUZ
15 mins ·
Termometro digital tipo pistola
Alicn
Certificacion iso de equipamiento medico
https://api.whatsapp.com/send?phone=59160882150",0,"Abimport SANTA CRUZ
15 mins ·
Termometro digital tipo pistola
Alicn
Certificacion iso de equipamiento medico
https://api.whatsapp.com/send?phone=59160882150",
0,https://scontent.flpb1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p320x320/101755935_148131340122242_7958096038915473408_o.jpg?_nc_cat=105&_nc_sid=ca434c&_nc_ohc=zLgpCrlgMh8AX_5_0On&_nc_ht=scontent.flpb1-1.fna&_nc_tp=3&oh=b431c40db79626bd52e5f09a89c1568c&oe=5EFE2069,0,,710973709714206,AURICULAR MARCA EWTTO CON CONTESTADOR PRECIO POR MAYOR.,,,0,AURICULAR MARCA EWTTO CON CONTESTADOR PRECIO POR MAYOR.,
